"","Time","CV"
"1",1,0
"2",2,0
"3",3,0
"4",4,0
"5",5,0
"6",6,0
"7",7,0
"8",8,0
"9",9,0
"10",10,0
"11",11,0
"12",12,0
"13",13,0
"14",14,0
"15",15,0
"16",16,0
"17",17,0
"18",18,0
"19",19,0
"20",20,0
"21",21,0
"22",22,0
"23",23,0
"24",24,0
"25",25,0.000184094256259205
"26",26,0.000183924958616884
"27",27,0.000183755972069092
"28",28,0.000183621006243114
"29",29,0.00018348623853211
"30",30,0.000183385292499542
"31",31,0.000183318056828598
"32",32,0.000183217295712715
"33",33,0.000183116645303058
"34",34,0.000183049606443346
"35",35,0.000183016105417277
"36",36,0.000182949140139041
"37",37,0.000182882223847842
"38",38,0.000182848784055586
"39",39,0.000182815356489945
"40",40,0.000182781941144215
"41",41,0.000182748538011696
"42",42,0.000182715147085693
"43",43,0.000182715147085693
"44",44,0.000182681768359518
"45",45,0.000182648401826484
"46",46,0.000182648401826484
"47",47,0.000181983621474067
"48",48,0.000181356546971346
"49",49,0.000180701120346946
"50",50,0.000180050414115952
"51",51,0.000179372197309417
"52",52,0.000178699070764832
"53",53,0.000178030977390066
"54",54,0.000177367860943597
"55",55,0.000176678445229682
"56",56,0.000175994368180218
"57",57,0.00017531556802244
"58",58,0.000174611489436005
"59",59,0.000173913043478261
"60",60,0.000173220162826953
"61",61,0.000172503018802829
"62",62,0.000171791788352517
"63",63,0.000171086398631309
"64",64,0.000170357751277683
"65",65,0.000169606512890095
"66",66,0.000168890390136801
"67",67,0.000168123739071957
"68",68,0.00016739203213927
"69",69,0.000166638893517747
"70",70,0.000165864985901476
"71",71,0.000165098233448902
"72",72,0.000164338537387017
"73",73,0.000163559044815178
"74",74,0.000162786911932281
"75",75,0.000161995788109509
"76",76,0.000161186331399097
"77",77,0.000160384923817161
"78",78,0.0001595914458985
"79",79,0.000158780565258812
"80",80,0.000157952930026852
"81",81,0.000157109190887667
"82",82,0.000156298843388559
"83",83,0.000155448468832582
"84",84,0.00015460729746444
"85",85,0.000153751537515375
"86",86,0.000152881822351322
"87",87,0.000152021891152326
"88",88,0.000151148730350665
"89",89,0.000150262960180316
"90",90,0.000149365197908887
"91",91,0.000148478099480327
"92",92,0.000147557916482219
"93",93,0.000146649068778413
"94",94,0.00014573010784028
"95",95,0.000144801621778164
"96",96,0.000143864192202561
"97",97,0.000142918393597256
"98",98,0.000141964792731403
"99",99,0.000141003948110547
"100",100,0.000140036409466461
"101",101,0.000139062717285496
